ID;Thrift;Parenting;Self-realization;Total points;Season;Episode;Type;City
1;12;15;24;51;1;1;2;1
2;18;5;15;110;1;1;2;1
3;9;11;8;28;1;1;2;1
4;25;13;9;47;1;1;1;1
5;21;9;27;57;1;2;1;1
6;12;20;27;59;1;2;1;1
7;26;26;9;61;1;2;2;1
8;24;22;19;65;1;2;2;1
9;14;19;12;45;1;3;2;1
10;7;15;16;38;1;3;1;1
11;20;23;22;65;1;3;2;1
12;90;6;12;108;1;3;1;1
13;17;17;17;51;1;4;2;1
14;12;8;13;33;1;4;1;1
15;10;14;14;38;1;4;2;1
16;16;24;19;59;1;4;2;1
17;23;26;20;69;1;5;2;1
18;9;12;11;32;1;5;2;1
19;26;21;28;75;1;5;1;1
20;26;25;30;81;1;5;1;1
21;4;12;22;38;1;6;1;2
22;7;7;10;24;1;6;2;2
23;12;8;12;32;1;6;1;2
24;13;10;0;23;1;6;2;2
25;19;14;20;53;1;7;2;1
26;17;19;18;54;1;7;1;1
27;25;12;26;63;1;7;1;1
28;1;5;4;10;1;7;2;1
29;4;10;9;23;1;8;1;1
30;6;7;18;31;1;8;2;1
31;10;11;11;32;1;8;1;1
32;5;11;13;29;1;8;1;1
33;16;16;20;52;1;9;1;1
34;21;16;21;58;1;9;1;1
35;14;3;3;20;1;9;2;1
36;0;6;6;12;1;9;1;1
37;18;19;16;53;1;10;2;3
38;21;22;28;71;1;10;1;3
39;16;13;18;47;1;10;1;3
40;19;16;21;56;1;10;1;3
